	author	occurs_100k	weight	pub_date_avg	books	wordcount	ethnicity	corpus
1628	Goltz, Horst von der.	1612.3950299327287	1.0	1918.0	1	72997		Hathi
4189	Wace,	1597.1640853913827	1.0	1937.0	1	152896		Hathi
859	Colomb, P. H.	1523.1003553900657	1.0	1893.0	1	112271		Hathi
2407	Larg, David Class.	1504.35976875659	1.0	1932.0	1	31309		Hathi
2409	Larrouy, Maurice,	1484.9568066726297	1.0	1918.0	1	67140		Hathi
3999	Teegan, Thomas Henry.	1476.7727885878605	1.0	1900.0	1	113423		Hathi
2166	James	1452.0882754654522	1.0	1883.0	1	111288		Hathi
3778	Soissons, Guy Jean Raoul Eugène Charles Emmanuel de Savoie-Carignan,	1443.840990672404	1.0	1911.0	1	74939		Hathi
788	Cieza de León, Pedro de,	1439.5928642971357	1.0	1918.0	1	184705		Hathi
3391	Rawson, Geoffrey.	1423.6627519359977	1.0	1938.0	1	97495		Hathi
832	Cobham, Alan John, Sir,	1383.334693544444	1.0	1926.0	1	49012		Hathi
1282	Elsbree, Elizabeth Sellers,	1348.4173237344303	1.0	1937.0	1	17502		Hathi
150	Ari Þorgilsson,	1292.3640306825573	1.0	1898.0	1	112507		Hathi
1481	Frey, Albert R.	1278.8781953317284	1.0	1895.0	1	268282		Hathi
2764	Mathews, Basil,	1275.1663844417365	3.0	1918.0	3	142714		Hathi
72	Adams, W. H. Davenport	1263.9141425340267	1.0	1896.0	1	67647		Hathi
706	Carter, Thomas Thellusson,	1248.6082392237843	1.0	1912.0	1	88018		Hathi
407	Birrell, Francis,	1247.429746401645	1.0	1932.0	1	7295		Hathi
2988	Murray, John Wilson,	1212.8664174699784	1.0	1904.0	1	203320		Hathi
601	Buckingham and Chandos, Alice Anne,	1195.0421898340728	1.0	1894.0	1	49538		Hathi
3936	Sun, Yat-sen,	1192.2971329960374	1.0	1897.0	1	25497		Hathi
4238	Watson, E. H. Lacon	1185.9443631039576	1.0	1914.0	1	40980		Hathi
789	Cimino, Hugh.	1165.4722642398408	1.0	1915.0	1	40327		Hathi
4440	Zbyszewski, Karol.	1144.9533125833698	1.0	1940.0	1	8996		Hathi
3519	Ross, John Dill.	1137.6413783980374	1.0	1911.0	1	151190		Hathi
100	Aldor, Francis.	1128.5738170874404	1.0	1940.0	1	59810		Hathi
3830	Stamper, Charles William,	1118.4622671780323	1.0	1913.0	1	130894		Hathi
2087	Hume, Martin Andrew Sharp,	1117.9137848172652	1.0	1910.0	1	47857		Hathi
4106	Tschudi, Clara	1109.3307038086975	1.0	1910.0	1	81130		Hathi
2578	Lyall, Archibald,	1106.2398042414382	1.0	1933.0	1	78464		Hathi
3888	Storer, Edward	1105.4572707729349	1.0	1911.0	1	101406		Hathi
2524	Livingston, St. Clair.	1099.127567493303	1.0	1916.0	1	43671		Hathi
2929	Moore, G. Greville	1094.3617516687013	1.0	1919.0	1	115958		Hathi
2065	Hoyt, Merrydelle.	1087.9981960651646	1.0	1914.0	1	35478		Hathi
3344	Purves, William Laidlaw,	1084.8610665741799	2.0	1903.0	2	258039		Hathi
4284	Westerby, Robert.	1081.5612100945714	1.0	1940.0	1	19139		Hathi
4225	Warner, Anne.	1074.0705817810917	1.0	1908.0	1	116659		Hathi
681	Cardigan and Lancastre, Adeline Louis Maria de Horsey,	1072.468637992832	1.0	1909.0	1	35712		Hathi
516	Brantôme, Pierre de Bourdeille,	1071.007635413291	1.0	1899.0	1	117086		Hathi
3526	Roundell, Julia Anne Elizabeth (Tollemache)	1069.034560807868	1.0	1909.0	1	57435		Hathi
1529	Garstin, Crosbie,	1068.557789909749	1.0	1922.0	1	72902		Hathi
436	Blennerhassett, Rose.	1063.8453975847062	1.0	1893.0	1	68149		Hathi
1089	Dell, Anthony.	1060.3520536462743	1.0	1926.0	1	71580		Hathi
3963	Syrett, Netta,	1060.3259956309873	1.0	1922.0	1	59510		Hathi
4261	Weindel, Henri de.	1053.2032965735475	1.0	1914.0	1	84694		Hathi
4055	Tilden, William A.	1052.4063338909912	1.0	1918.0	1	102812		Hathi
2711	Markham, Clements R.	1047.0709195551724	1.0	1896.0	1	84617		Hathi
1087	Delarue-Mardrus, Lucie,	1046.339247286114	1.0	1933.0	1	104555		Hathi
1633	Goodwin, Clarissa Garland,	1030.1813514136168	1.0	1922.0	1	91149		Hathi
59	Abdullah, Achmed,	1028.3103948555117	1.0	1934.0	1	102012		Hathi
1581	Gilbreath, Olive.	1022.778652613852	1.0	1918.0	1	64139		Hathi
2884	Miln, Louise (Jordan)	1013.0404710089875	1.0	1895.0	1	118554		Hathi
2885	Miln, Louise Jordan,	1007.4419075583477	1.0	1894.0	1	118518		Hathi
2281	Kelly, Margaret Duncan.	1002.1074362393009	1.0	1906.0	1	23251		Hathi
1854	Harrison, Marion Chilton	990.9448146249788	1.0	1915.0	1	17559		Hathi
1968	Hindus, Maurice Gerschon,	990.0872629337172	1.0	1939.0	1	168571		Hathi
2810	McDougall, Henriette,	982.0986344017538	1.0	1882.0	1	70665		Hathi
4335	Willets, Gilson,	980.9942211094836	1.0	1898.0	1	63507		Hathi
3258	Pitcairn, Frank.	979.2879043864575	1.0	1936.0	1	31962		Hathi
4339	Williams, H. Noel	976.6333863442939	1.0	1907.0	1	151541		Hathi
1789	Hall, Jennie,	975.5876213812502	1.0	1913.0	1	44076		Hathi
269	Baroness, Orczy, Emmuska Orczy,	974.7319487140992	1.0	1935.0	1	133370		Hathi
163	Arnold, Frederick,	974.7062217228965	1.0	1889.0	1	65866		Hathi
1439	Foster, Harry L.	969.6982030566387	1.0	1922.0	1	98278		Hathi
2521	Little, Frances Delanoy.	968.0982392307184	1.0	1914.0	1	61564		Hathi
4200	Walker, Whimsical,	966.9749009247031	1.0	1922.0	1	75700		Hathi
1138	Divine, A. D. (Arthur Durham),	966.5108219592855	2.0	1938.0	2	94275		Hathi
2048	Houghton, Mary	961.7321248741205	1.0	1915.0	1	59580		Hathi
3937	Sundowner.	957.221799576976	1.0	1901.0	1	119617		Hathi
3541	Russell, Guy,	956.3875482862755	1.0	1912.0	1	101737		Hathi
542	Brodsky, Anna Skadovsky	956.146253925526	1.0	1904.0	1	35664		Hathi
2425	Lawrence, Edmund.	955.891593013024	1.0	1890.0	1	119365		Hathi
3583	Sanchez, Nellie (Van de Grift)	953.2523551215045	1.0	1920.0	1	107107		Hathi
1671	Grant, Marjorie.	950.506813203137	1.0	1918.0	1	53866		Hathi
4486	Ėrenburg, Ilʹi͡a,	950.3522857611006	1.0	1934.0	1	18309		Hathi
1296	Erckmann, Émile.	949.4220909011941	1.0	1900.0	1	92056		Hathi
592	Bryher,	943.5378916808494	1.0	1925.0	1	39956		Hathi
543	Brodsky, Anna Skadovsky.	938.4922307454522	1.0	1904.0	1	35589		Hathi
1799	Halsted, Leonora B.	937.642547008835	1.0	1884.0	1	59191		Hathi
2858	Meynell, Mrs. Esther Hallam (Moorhouse)	937.2868434779119	1.0	1911.0	1	124615		Hathi
4107	Tschudi, Clara,	936.2746970634281	2.0	1905.0	2	247436		Hathi
2918	Montesquieu, Charles de Secondat,	936.0292835976982	1.0	1892.0	1	57370		Hathi
424	Blair, Andrew James Fraser,	935.9685405855283	1.0	1930.0	1	117739		Hathi
546	Bromby, Charles Hamilton.	928.7954771698516	1.0	1905.0	1	106482		Hathi
1958	Hill, Constance,	925.6946383178747	1.0	1904.0	1	68057		Hathi
1359	Festing, Gabrielle.	922.506421070226	1.0	1904.0	1	131598		Hathi
416	Black, Clementina.	917.0314325892764	1.0	1880.0	1	50489		Hathi
3774	Snider, C. H. J.	904.5946358712863	1.0	1913.0	1	85121		Hathi
40	(Rachel Mary), Fleming, Rachel M.	903.2634032634026	1.0	1923.0	1	61776		Hathi
1830	Hare, Augustus J. C.	899.2097812910405	2.0	1896.0	2	278135		Hathi
3828	Stafford, Thomas,	898.6820873512786	1.0	1896.0	1	129523		Hathi
2649	Mackenzie, Kenneth,	890.1994214402561	1.0	1935.0	1	71557		Hathi
2432	Layard, Austen Henry,	887.2566794997427	1.0	1887.0	1	129613		Hathi
3047	Nicholson, J. Shield	886.9354966273821	1.0	1913.0	1	88507		Hathi
1828	Hardy, Robina F.	884.5084660096022	1.0	1893.0	1	11871		Hathi
3630	Sebright, Arthur Edward Saunders,	880.2299376163552	1.0	1922.0	1	61234		Hathi
3160	Paoli Xavier,	879.3600376448437	1.0	1911.0	1	102006		Hathi
123	Amherst, William Amhurst Tyssen-Amherst,	877.9846123254252	1.0	1901.0	1	130754		Hathi
86	Aiken, Conrad,	876.6740171032097	1.0	1939.0	1	37186		Hathi
1382	Fischer, Henry W.	876.5163733258505	1.0	1916.0	1	85566		Hathi
250	Barclay, Hubert, Mrs.,	876.3697407901935	1.0	1938.0	1	151306		Hathi
4387	Woodward, William Harrison,	873.1979211684061	1.0	1929.0	1	90243		Hathi
3611	Schumacher, Heinrich Vollrat,	873.1975937825666	1.0	1929.0	1	121851		Hathi
902	Coryn, M. S.,	872.9604807235145	2.0	1936.0	2	196525		Hathi
3550	Rutter, Owen,	871.5988819804933	1.0	1937.0	1	87655		Hathi
3844	Steegmann, Mary G.	867.5570541696322	1.0	1913.0	1	113883		Hathi
3161	Paoli, Xavier,	865.5374771839569	1.0	1911.0	1	101902		Hathi
4364	Wilson, Violet A.	865.1665794522918	1.0	1922.0	1	85995		Hathi
2832	Megaw, Arthur Stanley,	864.939570173741	1.0	1938.0	1	215622		Hathi
3194	Pearce, Charles E.	864.6116476779804	1.0	1912.0	1	103746		Hathi
2989	Murray, Margaret Alice.	863.4049147664384	1.0	1927.0	1	31619		Hathi
3977	Tangye, Richard,	857.5874971027454	1.0	1895.0	1	30201		Hathi
4112	Tuohy, Ferdinand,	853.139082659421	1.0	1930.0	1	80995		Hathi
2857	Meynell, Esther.	850.7139010581042	1.0	1906.0	1	137414		Hathi
174	Ashton, Helen,	848.9802365298467	1.0	1932.0	1	101298		Hathi
3623	Scott-James, R. A.	846.4262761346092	1.0	1910.0	1	73131		Hathi
4102	Trowbridge, W. R. H.	844.600058792915	5.0	1906.8	5	502478		Hathi
2796	Maynell, Esther Hallam Moorhouse.	843.1833057405764	1.0	1912.0	1	25973		Hathi
2897	Mitra, Siddha Mohana,	841.4542966126413	1.0	1909.0	1	78911		Hathi
3727	Sister of Notre Dame.	840.3846709215345	1.0	1920.0	1	34627		Hathi
3568	Saint-Hilaire, Emile Marco de,	839.2120934493864	1.0	1916.0	1	54575		Hathi
1977	Hobart, Alice Tisdale,	834.3203511461022	1.0	1928.0	1	57412		Hathi
566	Brown, Beatrice Curtis.	832.1015342270261	1.0	1929.0	1	78476		Hathi
4172	Virgil	826.8530367162125	1.0	1893.0	1	20318		Hathi
2767	Matthews, Caroline Twigge,	823.6919825507342	1.0	1916.0	1	73814		Hathi
3776	Snorri Sturluson,	822.0394528985576	4.0	1905.25	4	563554		Hathi
3177	Paterson, Arthur,	821.4572269132315	1.0	1894.0	1	52346		Hathi
1722	Griffith, George.	821.398856414516	1.0	1897.0	1	112978		Hathi
2233	Jones, Cecilia Anne.	820.9528349355171	1.0	1882.0	1	37761		Hathi
2606	MacDonald, James Middleton.	820.9475773997988	1.0	1896.0	1	37274		Hathi
1236	Eastwick, Robert William,	819.6492273874642	1.0	1891.0	1	107363		Hathi
1228	DÁuvergne, Edmund Basil Francis.	819.0340091074829	1.0	1910.0	1	93769		Hathi
2650	Mackenzie, Kenneth.	817.5992799125601	1.0	1936.0	1	93322		Hathi
2043	Hort, Dora,	815.6590177339409	1.0	1891.0	1	97835		Hathi
2145	Irwin, E. W. (Edward Way).	814.8550091510227	1.0	1933.0	1	108731		Hathi
3757	Smith, Henry,	813.1480445725599	1.0	1910.0	1	69729		Hathi
1293	Erauso, Catalina de,	812.6117341134416	1.0	1908.0	1	49224		Hathi
4223	Wardle, C      Francis.	811.838075205724	1.0	1935.0	1	27099		Hathi
4120	Turquan, Joseph,	809.4079707027346	3.0	1911.3333333333333	3	355782		Hathi
3322	Prodgers, Cecil Herbert.	809.1422157088972	1.0	1922.0	1	64142		Hathi
3472	Roberts, E P.	808.5325993462985	1.0	1902.0	1	81382		Hathi
4020	Thirlmere, Rowland.	804.5817562077625	1.0	1897.0	1	50461		Hathi
446	Blowitz, Henri Georges Stephane Opper de,	802.4026436382926	1.0	1906.0	1	109546		Hathi
821	Clough, Arthur Hugh,	800.3245302218879	1.0	1888.0	1	145441		Hathi
940	Craufurd, Russell.	799.9419104210278	1.0	1909.0	1	82631		Hathi
2581	Lyly, John,	798.4146736800228	1.0	1928.0	1	191254		Hathi
3938	Sunity Devee,	797.8192939299229	1.0	1921.0	1	75205		Hathi
2329	Kirke, Dorothea.	794.4838277326542	1.0	1916.0	1	61927		Hathi
1515	Ganzhorn, John W.	793.4933544931517	1.0	1910.0	1	85697		Hathi
4005	Terhune, Albert Payson,	790.1460014222661	1.0	1918.0	1	113903		Hathi
1076	Debenham, Mary H.	786.9307770941399	1.0	1921.0	1	51847		Hathi
1871	Hatton, Joseph,	784.9466233019077	4.0	1884.0	4	316862		Hathi
1461	Frankland, Edward Percy,	784.1714132441372	1.0	1940.0	1	126758		Hathi
2005	Hollingshead, John.	783.9956745066243	1.0	1900.0	1	88776		Hathi
2976	Munford, George Frederick.	783.7100272898997	1.0	1922.0	1	28582		Hathi
892	Copping, Arthur E.	781.5337006804878	1.0	1911.0	1	63337		Hathi
3055	Nimrod.	779.6634754859268	1.0	1903.0	1	55152		Hathi
3874	Stevens, C.L. McCluer	778.8259303221556	1.0	1912.0	1	48021		Hathi
557	Brooks, Elbridge S.	778.1439353672788	1.0	1890.0	1	94070		Hathi
3998	Tearle, Christian	770.785219399545	1.0	1913.0	1	138560		Hathi
1559	Ghosh, Sarath Kumar,	769.9447116823983	1.0	1909.0	1	200404		Hathi
1221	Dutt, Romesh Chunder,	767.786886115146	1.0	1909.0	1	94297		Hathi
2753	Masson, Frédéric,	766.9520756401467	1.0	1896.0	1	98572		Hathi
3691	Sichel, Edith Helen,	766.3705133655916	3.0	1901.0	3	396648		Hathi
4377	Wood, Eric Erskine.	766.2281335839225	1.0	1916.0	1	13834		Hathi
2358	Kuehnelt-Leddihn, Erik von,	764.5789291475425	1.0	1936.0	1	135761		Hathi
903	Coryn, Marjorie,	764.2203813636839	2.0	1932.5	2	189361		Hathi
4442	Zglinitzki, Helen de,	763.0171146017608	1.0	1937.0	1	46919		Hathi
3721	Sir, Scott, Ernest,	762.7388124478928	1.0	1929.0	1	232714		Hathi
3054	Nimrod,	760.8517160216751	1.0	1915.0	1	54807		Hathi
3749	Smith, Annie S. Swan,	760.1374954587354	1.0	1919.0	1	35783		Hathi
354	Bennett, M. R.	759.7082236145153	1.0	1938.0	1	33039		Hathi
310	Bayly, George,	758.6013128655669	1.0	1885.0	1	78302		Hathi
2774	Matz, B. W.	757.8947368421088	1.0	1921.0	1	40375		Hathi
2775	Matz, Bertram Waldron,	757.5007426477868	1.0	1922.0	1	40396		Hathi
4163	Victoria,	757.3990363612462	2.0	1884.0	2	172211		Hathi
4245	Watson, William,	757.1997692854607	1.0	1892.0	1	149102		Hathi
2854	Metternich-Winneburg, Pauline Clementine Marie Walburga (Sándor von Szlavnicza) fürstin von,	756.6713187940359	1.0	1922.0	1	59471		Hathi
2125	I. R.	755.6537632648603	1.0	1887.0	1	36657		Hathi
3862	Stephenson, John Edward.	755.4477103479612	1.0	1937.0	1	83659		Hathi
4093	Trevelyan, George Otto,	754.2398744386757	1.0	1888.0	1	68811		Hathi
2253	Kaisenberg, Moritz Leopold Ludolf von,	752.2507099554949	1.0	1900.0	1	99302		Hathi
1328	Falls, Alicia Maria.	750.6667109024314	2.0	1899.5	2	140133		Hathi
3917	Stuart-Young, J. M. (John Moray)	749.5560548235501	1.0	1923.0	1	101927		Hathi
4171	Vioux, Marcelle,	748.5261121154056	1.0	1936.0	1	110083		Hathi
4454	[Greenwood, William de Redman],	746.7643781606318	1.0	1914.0	1	93336		Hathi
1104	Deval, Jacques,	746.4875965707171	1.0	1932.0	1	61354		Hathi
3545	Russell, Percy.	745.4965488895481	1.0	1889.0	1	70557		Hathi
3050	Nicholson, Meredith.	745.4466779434338	1.0	1908.0	1	101684		Hathi
2938	Morand, Paul,	742.2739237541325	5.0	1926.6	5	242496		Hathi
719	Cather, Willa,	740.6811045809498	1.0	1912.0	1	62105		Hathi
974	Cummins, Geraldine Dorothy,	738.388835560807	1.0	1939.0	1	108344		Hathi
988	Custance, Henry,	737.0363755432472	1.0	1894.0	1	83985		Hathi
3706	Simpson, Evelyn Blantyre,	735.6038269450597	1.0	1898.0	1	66476		Hathi
2440	Le Queux, William,	734.6931673876531	18.0	1909.3333333333333	18	1825589		Hathi
3767	Smith, Sydney,	734.4022395646809	2.0	1892.5	2	95353		Hathi
824	Clowes, W. Laird	734.2282725152841	1.0	1892.0	1	63468		Hathi
2320	King, Rosa E. (Rosa Eleanor),	734.0443875163181	1.0	1936.0	1	81194		Hathi
3573	Sala, George Augustus,	733.206735622517	4.0	1886.5	4	770074		Hathi
3504	Rolleston, Maud Brooke.	732.558307877172	1.0	1901.0	1	69073		Hathi
3271	Pocock, Roger,	731.3786433089205	1.0	1910.0	1	92018		Hathi
4304	White, Maude Valerie.	730.8090319512115	1.0	1914.0	1	155581		Hathi
1732	Grimwood, Ethel St. Clair.	729.8906822819025	1.0	1891.0	1	60283		Hathi
885	Cooper, Arthur Nevile.	724.9838283215828	2.0	1908.5	2	122948		Hathi
1675	Graves, Robert,	724.4271758060727	2.0	1929.0	2	251295		Hathi
320	Beck, L. Adams (Lily Adams),	724.3312255349573	2.0	1930.0	2	273722		Hathi
2766	Matters, Leonard.	724.2160705536525	1.0	1929.0	1	65312		Hathi
586	Brun, Vincenz,	723.4488038875583	1.0	1936.0	1	127998		Hathi
1082	Dehn, Olive.	722.6469182990925	1.0	1937.0	1	33488		Hathi
1857	Harsányi, Zsolt,	721.6212783005476	1.0	1936.0	1	204678		Hathi
1841	Harraden, Beatrice,	720.6238865818422	3.0	1905.0	3	175108		Hathi
2948	Morison, Margaret Cotter.	720.5026226295481	1.0	1904.0	1	69396		Hathi
395	Bilbo, Jack,	719.8582896770072	1.0	1937.0	1	53066		Hathi
2277	Kellermann, Bernhard,	719.7822568248182	1.0	1936.0	1	110589		Hathi
2037	Horne, R. H.	719.2917742530444	1.0	1883.0	1	32532		Hathi
1892	Haynes, T. W.	718.9058603491259	1.0	1933.0	1	102656		Hathi
2676	Malet, Edward,	717.5262173040948	1.0	1901.0	1	74283		Hathi
2754	Masters, David,	716.3181968506651	2.0	1936.5	2	219647		Hathi
1426	Ford, Douglas Morey.	716.0855489700283	2.0	1908.0	2	139592		Hathi
2855	Metternich-Winneburg, Pauline Clementine Marie Walburga Sándor von Szlavnicza,	715.9510594837742	1.0	1921.0	1	48467		Hathi
4215	Ward, Adolphus William,	714.3220413428381	1.0	1892.0	1	216289		Hathi
3552	Ryan, P.F. William.	713.9906143073524	1.0	1908.0	1	94399		Hathi
847	Collins, Dale.	711.0305170480335	1.0	1923.0	1	83822		Hathi
2623	Macdonald, Alex.	710.9872611464954	1.0	1910.0	1	125600		Hathi
2872	Miles, Hallie Eustace.	710.3628151572317	1.0	1930.0	1	47159		Hathi
2522	Littlefair, Mary.	708.2976903336182	1.0	1915.0	1	29225		Hathi
2138	Ireland, Annie Elizabeth Nicholson,	704.7594516470665	1.0	1891.0	1	139764		Hathi
1935	Herkomer, Hubert von,	704.3515664205333	1.0	1910.0	1	55796		Hathi
3210	Pennell, Joseph,	703.8296574617918	2.0	1886.5	2	49246		Hathi
554	Brooke, Victor Alexander,	702.6044821320478	1.0	1894.0	1	107315		Hathi
2155	Jackson, Murray Cosby.	699.4661968497703	1.0	1913.0	1	76058		Hathi
1396	Fitzgerald, G. Beresford	697.8417266187033	1.0	1889.0	1	41700		Hathi
4332	Wilkinson, Nevile Rodwell,	696.3645673323061	1.0	1922.0	1	48825		Hathi
2575	Lukash, Ivan,	694.8592195031694	1.0	1930.0	1	118873		Hathi
3067	North, Marianne,	694.7914796741309	2.0	1892.5	2	292648		Hathi
2906	Monck, Frances Elizabeth Owen (Cole)	694.6599269305876	1.0	1891.0	1	99905		Hathi
3033	Nevill, Ralph,	694.436716115604	1.0	1911.0	1	89857		Hathi
644	Byrne, Donn,	692.8262526361018	9.0	1926.0	9	838302		Hathi
4159	Verne, Jules,	691.0841290470111	3.0	1895.0	3	240624		Hathi
2873	Miles, Hamish,	689.1408881688931	1.0	1922.0	1	38889		Hathi
4029	Thompson, Beatrice.	688.7162649155116	1.0	1920.0	1	24974		Hathi
294	Bates, Katharine Lee,	687.2008835439915	1.0	1913.0	1	65192		Hathi
1626	Golovina, V. N.	686.8908532113652	1.0	1910.0	1	178631		Hathi
340	Bell, May.	686.5970533543132	1.0	1918.0	1	34955		Hathi
4469	baronne, Aimery de Pierrebourg, Marguerite Thomas-Galline,	685.7364768883338	1.0	1930.0	1	97851		Hathi
2020	Holyoake, George Jacob,	685.0372286863042	1.0	1900.0	1	136051		Hathi
499	Boyd, Martin,	684.8176589873965	1.0	1928.0	1	120324		Hathi
4357	Wilson, Francesca M.,	682.5273010920419	1.0	1920.0	1	30768		Hathi
3077	O'Brien, Sophie Raffalovich.	682.2734101151738	1.0	1904.0	1	63904		Hathi
2113	Hutton, Edward.	681.9965414024746	1.0	1901.0	1	143989		Hathi
1364	Ffoulkes, Maude M. C.	680.9196703456915	1.0	1915.0	1	116607		Hathi
3120	Orcutt, William Dana,	680.6150743634984	1.0	1904.0	1	75373		Hathi
3311	Price, Nancy,	679.854199942666	1.0	1938.0	1	73251		Hathi
2116	Hyatt, Ernest.	679.3492773902781	1.0	1935.0	1	93619		Hathi
1290	Enfield, D. E.	678.4427887699206	1.0	1922.0	1	40534		Hathi
3051	Niebuhr, Barthold Georg,	678.1089571680325	1.0	1910.0	1	26102		Hathi
345	Bellingham, William.	676.776538413334	1.0	1890.0	1	39895		Hathi
425	Blair, Dorian.	676.6574855234321	1.0	1937.0	1	138327		Hathi
3390	Rawnsley, Willingham Franklin,	675.1054852320706	1.0	1904.0	1	37920		Hathi
3000	Mühlbach, L.	674.6455205053323	2.0	1893.0	2	564515		Hathi
3595	Savage, Richard,	674.3903618601319	1.0	1895.0	1	186094		Hathi
2638	Mackail, J. W.	673.0947034423838	2.0	1897.0	2	111104		Hathi
3306	Price, Alice.	671.7192487711269	1.0	1887.0	1	51063		Hathi
2761	Matheson, Annie,	671.4765340381459	1.0	1920.0	1	13999		Hathi
1904	Hedemann, Alexandrine von.	670.9950829914975	1.0	1912.0	1	36811		Hathi
3756	Smith, Gipsy,	670.9605384225737	1.0	1905.0	1	96727		Hathi
3679	Shiel, M. P.	670.4892108051018	2.0	1897.0	2	242719		Hathi
968	Crutchley, William Caius,	668.6779936131588	1.0	1912.0	1	113358		Hathi
2083	Hull, Eleanor,	668.5860524632114	1.0	1930.0	1	93780		Hathi
638	Butler, Patrick Richard,	667.453988137102	1.0	1920.0	1	75361		Hathi
3843	Stedman, Douglas C.	666.1724429068555	1.0	1909.0	1	97122		Hathi
713	Castellane, Antione Marie Eugène Philippe Boniface,	666.0223548197342	1.0	1911.0	1	47596		Hathi
1278	Ellison, Wallace.	664.7002052550747	1.0	1918.0	1	73567		Hathi
2792	Mayer, Gertrude Townshend.	664.5401382243422	1.0	1894.0	1	105336		Hathi
971	Cumberlege, Claude.	663.3626793080041	1.0	1936.0	1	64972		Hathi
3222	Perrin, Alice Robinson,	662.743135258283	1.0	1913.0	1	115882		Hathi
1218	Durham, M. E.	662.5982366194188	1.0	1904.0	1	112738		Hathi
2480	Leslie, Shane,	661.0130215151408	4.0	1927.0	4	344240		Hathi
3791	Sousa, L. de.	660.4593905405818	1.0	1900.0	1	102353		Hathi
1954	Hicks, Beatrice M.	659.0406251471087	1.0	1900.0	1	63729		Hathi
1808	Hamilton, Mary Agnes,	658.9170451828803	1.0	1916.0	1	66928		Hathi
389	Biart, Lucien,	658.0175092698544	1.0	1893.0	1	123249		Hathi
597	Buchanan, Meriel,	657.5781876503613	1.0	1918.0	1	62350		Hathi
2389	Lamprey, Louise,	655.5390721911388	2.0	1923.5	2	135517		Hathi
1957	Higginson, Alexander Henry,	652.9964603930175	1.0	1939.0	1	16386		Hathi
4052	Tickell, Jerrard,	651.9442793952593	1.0	1936.0	1	121176		Hathi
795	Clarke, Basil.	650.6883502282428	1.0	1917.0	1	110191		Hathi
4480	pseud. Oliver, Jane,	650.1134907851877	1.0	1939.0	1	188121		Hathi
3894	Strachey, Lytton,	649.378949662236	1.0	1938.0	1	22945		Hathi
3038	Newbolt, Henry John, Sir,	649.2888489398866	1.0	1925.0	1	94565		Hathi
3859	Stephen, Harry Lushington,	649.2372825873447	1.0	1899.0	1	91646		Hathi
2538	Loliée, Frédéric,	648.6422153016164	1.0	1907.0	1	151239		Hathi
1468	Fraser, Mary Crawford.	648.0186955944979	1.0	1915.0	1	97991		Hathi
682	Carette,	647.0130375559426	1.0	1890.0	1	61668		Hathi
1010	Danilevskïĭ, Grigovïĭ Petrovich,	646.850737354708	1.0	1917.0	1	108835		Hathi
2732	Marshall, H. E.	646.8250613004147	1.0	1907.0	1	23654		Hathi
514	Brandes, Georg,	646.6746227241404	1.0	1906.0	1	170101		Hathi
1128	Dilnot, Frank,	646.5568838878254	2.0	1923.0	2	176194		Hathi
3899	Strange, Nora K. (Nora Kathleen)	645.4326765080921	1.0	1920.0	1	152146		Hathi
3269	Plutarch.	644.6404719427466	2.0	1932.5	2	194481		Hathi
134	Andrews, James Chapman.	642.7544048903266	1.0	1926.0	1	44496		Hathi
1678	Gray, John Alfred.	642.1912763263924	1.0	1901.0	1	173780		Hathi
3731	Sitwell, Sacheverell,	641.8812384550114	3.0	1931.3333333333333	3	156590		Hathi
2540	Lombardini, S. H.	641.0444908401216	1.0	1913.0	1	68014		Hathi
252	Baring, Maurice,	640.5318639917595	12.0	1922.5833333333333	12	1034097		Hathi
787	Cid,	639.9976988846779	1.0	1894.0	1	139063		Hathi
4012	Thayer, John Adams,	639.5030147999258	1.0	1911.0	1	43784		Hathi
1233	Earl of, Halsbury, Hardinge Goulburn Giffard,	639.0532544378663	1.0	1926.0	1	80275		Hathi
2061	Howe, Sonia Elizabeth,	637.8223639605275	1.0	1917.0	1	79646		Hathi
579	Browne, Thos. Alex.	637.2102076567655	1.0	1894.0	1	97613		Hathi
2708	Margueritte, Paul,	636.3290758752222	3.0	1905.6666666666667	3	423266		Hathi
121	Ambler, Eric,	636.1351957077858	1.0	1940.0	1	88346		Hathi
1665	Grant, Colquhoun,	636.0659570211119	2.0	1909.5	2	154203		Hathi
228	Baldwin, James,	636.0107142435718	1.0	1913.0	1	84747		Hathi
2798	Mayo, Katherine,	635.8250632051644	1.0	1929.0	1	53002		Hathi
3293	Power, Rhoda D	633.7173590615565	1.0	1919.0	1	66749		Hathi
950	Crocker, Aimée,	633.6701489981149	1.0	1937.0	1	81746		Hathi
695	Carpentier, Georges,	633.5064814957526	1.0	1920.0	1	64877		Hathi
1489	Froude, James Anthony,	632.7335729253193	1.0	1891.0	1	170846		Hathi
2619	Macaulay, James.	631.8471337579598	1.0	1902.0	1	98125		Hathi
2709	Margueritte, V.	628.8434834358249	1.0	1913.0	1	100820		Hathi
2702	Marau, Clement	627.3153865151882	1.0	1894.0	1	20245		Hathi
4329	Wilkins, Louisa Jebb.	627.2664902479647	1.0	1912.0	1	91827		Hathi
1625	Gollomb, Joseph,	627.1604485480896	1.0	1931.0	1	109063		Hathi
2055	Houstoun,	626.9479308311522	1.0	1891.0	1	83101		Hathi
1149	Doorly, Eleanor.	625.4101049868783	1.0	1940.0	1	48768		Hathi
3988	Taylor, Ida Ashworth.	622.4688765561737	1.0	1907.0	1	93338		Hathi
